KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
NHS,DU NO,25141,CV CC GTCG,"CHO VAY THONG THUONG CAM CO GIAY TO CO GIA, TTK, HDTG, CCTG,…(GOI TAT LA GTCG)",CHO VAY CAM CO TIET KIEM MO TREN KENH SO,CHO VAY CAM CO TIET KIEM SO QUA EMB SP SO,"Cho vay cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)","Cho vay thông thường cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)",Cho vay cầm cố tiết kiệm mở trên kênh số,Cho vay cầm cố Tiết kiệm số qua Emb SP SO,2022-03-09 00:00:00.0000000,CV STK,NHS,CV CC GTCG
TCKT,,15121,SAN PHAM DAU TU,,,,Sản phẩm đầu tư,Bond ,Trái phiếu kỳ hạn Từ 3 đến dưới 6 tháng,Trái phiếu kỳ hạn Từ 3 đến dưới 6 tháng,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,29122,CV TIEU DUNG,CHO VAY TIEU DUNG CO TSDB,CHO VAY THAU CHI/RUT VON NHANH TIEU DUNG CO TSDB,CHO VAY THAU CHI RUT VON NHANH TIEU DUNG CO TSDB,Cho vay tiêu dùng,Cho vay tiêu dùng có TSĐB,Cho vay thấu chi/rút vốn nhanh tiêu dùng có TSĐB,Cho vay thấu chi rút vốn nhanh tiêu dùng có TSĐB,2022-03-09 00:00:00.0000000,CV TD TSDB,INDIV,CV TD TSDB
NHS,DU NO,22531,CV TIEU DUNG,CHO VAY TIEU DUNG CO TSDB,CHO VAY THAU CHI/RUT VON NHANH TIEU DUNG CO TSDB,VAY NHANH THAU CHI TIET KIEM SO SP SO,Cho vay tiêu dùng,Cho vay tiêu dùng có TSĐB,Cho vay thấu chi/rút vốn nhanh tiêu dùng có TSĐB,Vay nhanh thấu chi tiết kiệm số SP SO,2022-03-09 00:00:00.0000000,CV THAU CHI,NHS,CV TD TSDB
INDIV,DU NO,51831,CV VON LĐ,THAU CHI,THAU CHI,THAU CHI TIEN DIEN,Cho vay vốn lưu động,Thấu chi,Thấu chi,Thấu chi tiền điện,2022-03-09 00:00:00.0000000,CV THAU CHI,INDIV,CV TIN CHAP
TCKT,,61912,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ cất giữ hộ tài sản khác,2023-07-26 00:00:00.0000000,,,
TCKT,,22341,CHO VAY,,,,Cho vay,CV Nhà dự án,CV Nhà dự án,"Cho vay mua căn hộ, nhà, đất dự án tiêu chuẩn",2023-07-26 00:00:00.0000000,,,
TCKT,,28111,CHO VAY,,,,Cho vay,CV Ô tô,CV Ô tô,CHO VAY O TO TREN APP MBBANK,2023-07-26 00:00:00.0000000,,,
NHS,DU NO,28111,CV O TO,CHO VAY O TO TREN APP MBBANK,CHO VAY MUA O TO MUC DICH TIEU DUNG,CHO VAY MUA O TO MUC DICH TIEU DUNG,Cho vay mua ô tô,Cho vay Ô tô trên App MBBANK,Cho vay mua ô tô mục đích tiêu dùng,Cho vay mua ô tô mục đích tiêu dùng,2022-03-09 00:00:00.0000000,CV TD TSDB,NHS,CV TD TSDB
INDIV,DU NO,25211,CV DT - KD CHUNG KHOAN,CHO VAY UNG TRUOC CHUNG KHOAN,CHO VAY UNG TRUOC TIEN BAN CHUNG KHOAN,CHO VAY UNG TRUOC TIEN BAN CHUNG KHOAN,Cho vay đầu tư chứng khoán,Cho vay ứng trước chứng khoán,Cho vay ứng trước tiền bán chứng khoán,Cho vay ứng trước tiền bán chứng khoán,2022-03-09 00:00:00.0000000,CV CK,INDIV,CV CK
TCKT,,25211,CHO VAY,,,,Cho vay,CV STK,CV STK,Cho vay ứng trước tiền bán chứng khoán,2023-07-26 00:00:00.0000000,,,
TCKT,,21412,CHO VAY,,,,Cho vay,Thấu chi,CV Thấu chi TSĐB,Cho vay thấu chi SXKD (cầm cố GTCG),2023-07-26 00:00:00.0000000,,,
TCKT,,12414,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiền gửi kết hợp Dịch vụ chi hộ giá trị đảm bảo các hợp đồng bảo hiểm,2023-07-26 00:00:00.0000000,,,
SME,BAO_LANH,31231,BAO LANH,BAO LANH,BAO LANH KHAC,BAO LANH KHAC,Bảo lãnh,Bảo lãnh,Bảo lãnh khác,Bảo lãnh khác,2021-01-01 00:00:00.0000000,,,
TCKT,,118212,THE TIN DUNG,,,,Thẻ tín dụng,Phat hanh moi,Thẻ tín dụng phát hành mới hạng Platinum,Thẻ tín dụng quốc tế VISA phát hành mới hạng Platinum,2023-07-26 00:00:00.0000000,,,
CIB,BAO_LANH,31231,BAO LANH,BAO LANH,BAO LANH KHAC,BAO LANH KHAC,Bảo lãnh,Bảo lãnh,Bảo lãnh khác,Bảo lãnh khác,2021-01-01 00:00:00.0000000,,,
TCKT,,23131,CHO VAY,,,,Cho vay,Thấu chi,CV Thấu chi không TSĐB,Cho vay thấu chi nhân viên địa bàn,2023-07-26 00:00:00.0000000,,,
TCKT,,23221,CHO VAY,,,,Cho vay,Tín chấp ,CV Lương Cty Con,Cho vay đảm bảo bằng lương công ty trực thuộc MB,2023-07-26 00:00:00.0000000,,,
TCKT,,24112,CHO VAY,,,,Cho vay,CV Chứng khoán,CV Chứng khoán,Vay đầu tư chứng khoán kênh số SPSO,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,24112,CV DT - KD CHUNG KHOAN,CHO VAY DAU TU KINH DOANH CHUNG KHOAN,CHO VAY DAU TU KINH DOANH CHUNG KHOAN,VAY SIEU NHANH DAU TU CHUNG KHOAN KENH SO SP SO (DANG TEST),Cho vay đầu tư chứng khoán,Cho vay đầu tư kinh doanh chứng khoán,Cho vay đầu tư kinh doanh chứng khoán,Vay siêu nhanh đầu tư chứng khoán kênh số SP SO (đang test),2022-03-09 00:00:00.0000000,CV CK,NHS,CV CK
TCKT,,21221,CHO VAY,,,,Cho vay,CV Ô tô,CV Ô tô,Cho vay tái tài trợ ô tô SXKD,2023-07-26 00:00:00.0000000,,,
CIB,BAO_LANH,31151,BAO LANH,BAO LANH,BAO LANH BAO HANH,BAO LANH DAM BAO CHAT LUONG,Bảo lãnh,Bảo lãnh,Bảo lãnh bảo hành,Bảo lãnh đảm bảo chất lượng,2021-01-01 00:00:00.0000000,,,
SME,BAO_LANH,31151,BAO LANH,BAO LANH,BAO LANH BAO HANH,BAO LANH DAM BAO CHAT LUONG,Bảo lãnh,Bảo lãnh,Bảo lãnh bảo hành,Bảo lãnh đảm bảo chất lượng,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55111,TAI TRO THUONG MAI,TAI TRO THUONG MAI - NHAP KHAU,TAI TRO UPAS LC,TAI TRO UPAS L/C,Tài trợ thương mại,Tài trợ thương mại - Nhập khẩu,Tài trợ Upas LC,Tài trợ UPAS L/C,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,55111,TAI TRO THUONG MAI,TAI TRO THUONG MAI - NHAP KHAU,TAI TRO UPAS LC,TAI TRO UPAS L/C,,Tài trợ thương mại - Nhập khẩu,Tài trợ Upas LC,Tài trợ UPAS L/C,2021-01-01 00:00:00.0000000,,,
NHS,DU NO,51145,CV KHAC,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,CHO VAY MON THANH TOAN THUONG MAI SME,Cho vay khác,Cho vay tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,Cho vay món thanh toán thương mại SME,2022-03-09 00:00:00.0000000,CV TIN CHAP,NHS,CV TIN CHAP
TCKT,,160,KHACH HANG,,,,Khách hàng,Khách hàng,Khách hàng active mới trong kỳ,Khách hàng active mới trong kỳ,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,11124,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thấu chi,Tài khoản thấu chi kênh số SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thấu chi,Tài khoản thấu chi kênh số SP SO,2021-01-01 00:00:00.0000000,,,
NHS,HDV&TT,11124,TKTT,TAI KHOAN THANH TOAN,TAI KHOAN THAU CHI,TAI KHOAN THAU CHI KENH SO SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thấu chi,Tài khoản thấu chi kênh số SP SO,2022-03-09 00:00:00.0000000,TKTT,NHS,TKTT
TCKT,,21212,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay bo sung VLD theo mon ngan han - khong TSDB,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,51821,CHO VAY VON LUU DONG,THAU CHI,THAU CHI,CHO VAY THAU CHI,Cho vay vốn lưu động,Thấu chi,Thấu chi,Cho vay thấu chi,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,21212,CV SXKD,CHO VAY SAN XUAT KINH DOANH THONG THUONG KHONG CO TSDB (TIN CHAP),CHO VAY SAN XUAT KINH DOANH THONG THUONG KHONG CO TSDB (TIN CHAP),CHO VAY BO SUNG VLD THEO MON NGAN HAN - KHONG TSBD,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh thông thường KHÔNG có TSĐB (tín chấp),Cho vay sản xuất kinh doanh thông thường KHÔNG có TSĐB (tín chấp),Cho vay bổ sung VLĐ theo món ngắn hạn - không TSBĐ,2022-03-09 00:00:00.0000000,CV SXKD,INDIV,CV SXKD
TCKT,,16211,KIEU HOI,,,,Kiều hối,DS Chiều về ,Chuyển tiền từ nước ngoài về VN qua SWIFT,Chuyển tiền từ nước ngoài về VN qua SWIFT,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,51821,CHO VAY VON LUU DONG,THAU CHI,THAU CHI,CHO VAY THAU CHI,,Thấu chi,Thấu chi,Cho vay thấu chi,2021-01-01 00:00:00.0000000,,,
NHS,DU NO,12115,CV SXKD,CHO VAY SAN XUAT KINH DOANH LOC TROI,CHO VAY MON SAN XUAT KINH DOANH KHONG TSBD,CHO VAY GIAI NGAN APP KHCN,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh tín chấp,Cho vay thấu chi tự động sản xuất kinh doanh,Cho vay giải ngân APP KHCN,2022-03-09 00:00:00.0000000,CV SXKD,NHS,CV SXKD
SME,DU_NO,55131,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHIET KHAU BO CHUNG TU XUAT KHAU,CHIET KHAU BCT,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Chiết khấu bộ chứng từ xuất khẩu,Chiết khấu BCT,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,55131,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHIET KHAU BO CHUNG TU XUAT KHAU,CHIET KHAU BCT,,Tài trợ thương mại - xuất khẩu,Chiết khấu bộ chứng từ xuất khẩu,Chiết khấu BCT,2021-01-01 00:00:00.0000000,,,
TCKT,,118112,THE TIN DUNG,,,,Thẻ tín dụng,Phat hanh moi,Thẻ tín dụng phát hành mới hạng Platinum,Thẻ JCB Sakura phát hành mới hạng Platinum,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,52131,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU LC NHAP KHAU TRA NGAY,,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ LC nhập khẩu trả ngay,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,52131,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU LC NHAP KHAU TRA NGAY,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ LC nhập khẩu trả ngay,2021-01-01 00:00:00.0000000,,,
TCKT,,23142,CHO VAY,,,,Cho vay,Thấu chi,CV Thấu chi không TSĐB,Cho vay thấu chi không có TSDB đối với CBQL Viettel,2023-07-26 00:00:00.0000000,,,
TCKT,,16611,KIEU HOI,,,,Kiều hối,Phí ,"Phí thanh toán quốc tế, kiều hối","Phí thanh toán quốc tế, kiều hối",2023-07-26 00:00:00.0000000,,,
TCKT,,622111,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình IC/IRM MBAL 12,Mô hình IC/IRM MBAL 12,2023-07-26 00:00:00.0000000,,,
TCKT,,15721,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Trả lương Bộ quốc phòng & DN QP,2023-07-26 00:00:00.0000000,,,
TCKT,,15421,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Trả lương Bộ quốc phòng & DN QP,2023-07-26 00:00:00.0000000,,,
TCKT,,22131,CHO VAY,,,,Cho vay,CV Ô tô,CV Ô tô,Cho vay mua ô tô tiêu chuẩn,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,53213,CHO VAY DAU TU TSCD VA DU AN,CHO VAY DAU TU DU AN,DAU TU DU AN BAT DONG SAN,DAU TU DU AN BAT DONG SAN,,Cho vay đầu tư dự án,Đầu tư dự án bất động sản,Đầu tư dự án bất động sản,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,24111,CV DT - KD CHUNG KHOAN,CHO VAY DAU TU KINH DOANH CHUNG KHOAN,CHO VAY DAU TU KINH DOANH CHUNG KHOAN,CHO VAY DAU TU KINH DOANH CHUNG KHOAN,Cho vay đầu tư chứng khoán,Cho vay đầu tư kinh doanh chứng khoán,Cho vay đầu tư kinh doanh chứng khoán,Cho vay đầu tư kinh doanh chứng khoán,2022-03-09 00:00:00.0000000,CV CK,INDIV,CV CK
TCKT,,24111,CHO VAY,,,,Cho vay,CV Chứng khoán,CV Chứng khoán,Cho vay đầu tư kinh doanh chứng khoán,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,53213,CHO VAY DAU TU TSCD VA DU AN,CHO VAY DAU TU DU AN,DAU TU DU AN BAT DONG SAN,DAU TU DU AN BAT DONG SAN,Cho vay đầu tư TSCĐ và dự án,Cho vay đầu tư dự án,Đầu tư dự án bất động sản,Đầu tư dự án bất động sản,2021-01-01 00:00:00.0000000,,,
CIB,BAO_LANH,31121,BAO LANH,BAO LANH,BAO LANH THUC HIEN HOP DONG,BAO LANH THUC HIEN HOP DONG,Bảo lãnh,Bảo lãnh,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,2021-01-01 00:00:00.0000000,,,
SME,BAO_LANH,31121,BAO LANH,BAO LANH,BAO LANH THUC HIEN HOP DONG,BAO LANH THUC HIEN HOP DONG,Bảo lãnh,Bảo lãnh,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,2021-01-01 00:00:00.0000000,,,
TCKT,,11571,THE GHI NO,,,,Thẻ ghi nợ,Debit,Thẻ học đường,Thẻ học đường,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,11571,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,Thẻ học đường,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,Thẻ học đường,2021-01-01 00:00:00.0000000,,,
SME,BAO_LANH,31131,BAO LANH,BAO LANH,BAO LANH CHO VAY,BAO LANH CHO VAY,Bảo lãnh,Bảo lãnh,Bảo lãnh cho vay,Bảo lãnh cho vay,2021-01-01 00:00:00.0000000,,,
CIB,BAO_LANH,31131,BAO LANH,BAO LANH,BAO LANH CHO VAY,BAO LANH CHO VAY,Bảo lãnh,Bảo lãnh,Bảo lãnh cho vay,Bảo lãnh cho vay,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,11571,TAI KHOAN THE TRA TRUOC,THE TRA TRUOC DANH CHO KHCN,THE TRA TRUOC NOI DIA DANH CHO KHCN,THE HOC DUONG,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,Thẻ học đường,2022-03-09 00:00:00.0000000,,NHS,
CIB,HUY_DONG,12213,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI TRUOC,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi trước,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,12213,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI TRUOC,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi trước,2021-01-01 00:00:00.0000000,,,
TCKT,,12213,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi trước,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,12213,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi trước,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi trước,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12213,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI TRUOC,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi trước,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,23241,CHO VAY,,,,Cho vay,Tín chấp ,CV Tín chấp,Cho vay tiêu dùng không có TSBĐ cho CBNV Nhà nước,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,55171,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,TAI TRO XUAT KHAU TRUOC KHI GIAO HANG THE CHAP L/C,TAI TRO XUAT KHAU TRUOC KHI GIAO HANG THE CHAP L/C,,Tài trợ thương mại - xuất khẩu,Tài trợ xuất khẩu trước khi giao hàng thế chấp L/C,Tài trợ xuất khẩu trước khi giao hàng thế chấp L/C,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55171,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,TAI TRO XUAT KHAU TRUOC KHI GIAO HANG THE CHAP L/C,TAI TRO XUAT KHAU TRUOC KHI GIAO HANG THE CHAP L/C,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Tài trợ xuất khẩu trước khi giao hàng thế chấp L/C,Tài trợ xuất khẩu trước khi giao hàng thế chấp L/C,2021-01-01 00:00:00.0000000,,,
TCKT,,61161,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình IC/IRM MBAL 8,Mô hình IC/IRM MBAL 8,2023-07-26 00:00:00.0000000,,,
TCKT,,27111,CHO VAY,,,,Cho vay,CV Khác,CV Khác,Cho vay khác,2023-07-26 00:00:00.0000000,,,
TCKT,,1613,DOANH THU THUAN TU DU PHONG,,,,Doanh thu thuan tu du phong,Doanh thu thuan tu du phong,Doanh thu thuan tu du phong,Doanh thu thuan tu du phong,2023-07-26 00:00:00.0000000,,,
NHS,DU NO,29121,CV TIEU DUNG,CHO VAY TIEU DUNG CO TSDB,CHO VAY THAU CHI/RUT VON NHANH TIEU DUNG CO TSDB,VAY SIEU NHANH THAU CHI BAO DAM BANG CHUNG KHOAN SP SO (DANG TEST),Cho vay tiêu dùng,Cho vay tiêu dùng có TSĐB,Cho vay thấu chi/rút vốn nhanh tiêu dùng có TSĐB,Vay siêu nhanh thấu chi bảo đảm bằng chứng khoán SP SO (đang test),2022-03-09 00:00:00.0000000,CV TD TSDB,NHS,CV TD TSDB
CIB,DU_NO,55221,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
TCKT,,61181,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình Credit MBAL 7,Mô hình Credit MBAL 7,2023-07-26 00:00:00.0000000,,,
TCKT,,29121,CHO VAY,,,,Cho vay,Tín chấp ,CV SP SO toàn trình,VAY SIEU NHANH THAU CHI BAO DAM BANG CHUNG KHOAN SP SO (DANG TEST),2023-07-26 00:00:00.0000000,,,
TCKT,,21215,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,CHO VAY BO SUNG VON LUU DONG CHO KHACH HANG VIETQR,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,55221,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
NHS,DU NO,21215,CV SXKD,CHO VAY SAN XUAT KINH DOANH TIN CHAP,CHO VAY BO SUNG VON LUU DONG,CHO VAY BO SUNG VON LUU DONG CHO KHACH HANG VIETQR,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh tín chấp,Cho vay bổ sung vốn lưu động,Cho vay bổ sung vốn lưu động cho khách hàng VIETQR,2022-03-09 00:00:00.0000000,CV SXKD,NHS,CV SXKD
TCKT,,267,THE TIN DUNG,,,,Thẻ tín dụng,Reactive,User reactive - The credit,User reactive - The credit,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,52161,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU UPAS LC NOI DIA,,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ UPAS LC nội địa,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,52161,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU UPAS LC NOI DIA,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ UPAS LC nội địa,2021-01-01 00:00:00.0000000,,,
TCKT,,15244,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ tiền điện qua nhân viên địa bàn Viettel,2023-07-26 00:00:00.0000000,,,
NHS,DU NO,29221,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY THAU CHI TIEU DUNG KHONG CO TSDB,VAY SIEU NHANH THAU CHI TU THE TIN DUNG SP SO (DANG TEST),Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay thấu chi tiêu dùng không có TSĐB,Vay siêu nhanh thấu chi từ thẻ tín dụng SP SO (đang test),2022-03-09 00:00:00.0000000,CV TIN CHAP,NHS,CV TIN CHAP
NHS,DU NO,29214,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,CHO VAY THONG MINH ,Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,Cho vay thông minh,2022-03-09 00:00:00.0000000,CV TIN CHAP,NHS,CV TIN CHAP
TCKT,,29221,CHO VAY,,,,Cho vay,Tín chấp ,CV SP SO toàn trình,VAY SIEU NHANH THAU CHI TU THE TIN DUNG SP SO (DANG TEST),2023-07-26 00:00:00.0000000,,,
TCKT,,23121,CHO VAY,,,,Cho vay,Thấu chi,CV Thấu chi không TSĐB,Cho vay thấu chi tiền điện,2023-07-26 00:00:00.0000000,,,
TCKT,,262126,THE TIN DUNG,,,,Thẻ tín dụng,Gia han,Thẻ tín dụng gia hạn hạng Platinum,Thẻ tín dụng quốc tế VINID gia hạn hạng Platinum,2023-07-26 00:00:00.0000000,,,
INDIV,"DAU TU, BAO HIEM, TU VAN, UY THAC DAI LY",61233,"SAN PHAM, DICH VU DAU TU",LIEN KET PHAN PHOI CHUNG CHI QUY MO,LIEN KET PHAN PHOI CHUNG CHI QUY MO MBBF,LIEN KET PHAN PHOI CHUNG CHI QUY MO MBBF,"Sản phẩm, dịch vụ đầu tư",Liên kết phân phối chứng chỉ quỹ mở,Liên kết phân phối chứng chỉ quỹ mở MBBF,Liên kết phân phối chứng chỉ quỹ mở MBBF,2022-03-09 00:00:00.0000000,,INDIV,
NHS,DU NO,23212,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,CHO VAY DAM BAO BANG LUONG MB QUA APP,Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,Cho vay đảm bảo bằng lương MB qua APP,2022-03-09 00:00:00.0000000,CV LUONG MB,NHS,CV TIN CHAP
INDIV,DU NO,21213,CV SXKD,CHO VAY SAN XUAT KINH DOANH THONG THUONG KHONG CO TSDB (TIN CHAP),CHO VAY SAN XUAT KINH DOANH THONG THUONG KHONG CO TSDB (TIN CHAP),CHO VAY BO SUNG VLD THEO MON TRUNG DAI HAN - KHONG TSBD,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh thông thường KHÔNG có TSĐB (tín chấp),Cho vay sản xuất kinh doanh thông thường KHÔNG có TSĐB (tín chấp),Cho vay bổ sung VLĐ theo món trung dài hạn - không TSBĐ,2022-03-09 00:00:00.0000000,CV SXKD,INDIV,CV SXKD
TCKT,,21213,CHO VAY,,,,Cho vay,SXKD,CV SXKD không quay vòng,Cho vay bo sung VLD theo mon trung dai han - khong TSDB,2023-07-26 00:00:00.0000000,,,
TCKT,,61915,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ thu chi hộ,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,55141,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHIET KHAU BO CHUNG TU XUAT KHAU,CHIET KHAU BCT,,Tài trợ thương mại - xuất khẩu,Chiết khấu bộ chứng từ xuất khẩu,Chiết khấu BCT,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55141,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHIET KHAU BO CHUNG TU XUAT KHAU,CHIET KHAU BCT,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Chiết khấu bộ chứng từ xuất khẩu,Chiết khấu BCT,2021-01-01 00:00:00.0000000,,,
